Problem Number,Date,Difficulty,Tags,New Concepts Learn,Status,My Logic
66. Plus One,"June 8, 2023",Easy,"Array, Math",,Checked Solution,
7. Reverse Integer,"July 19, 2023","Medium ",Math,https://www.notion.so/d93d724edce140348707b639f347563d?pvs=21,Checked Solution,
1. Two Sum,"July 23, 2023",Easy,"Array, Hash Table",,Solved,
1752. Check if Array Is Sorted and Rotated,"July 4, 2023",Easy,Array,https://www.notion.so/1d32b4abeeed4d168e2b2e3a28c4f21c?pvs=21,Checked Solution,
26. Remove Duplicates from Sorted Array,"July 5, 2023",Easy,"Array, Two Pointers",https://www.notion.so/16a4239ca05f42a098b89ed87ae2d92e?pvs=21,Solved,Leetcode%20b88694650b4c4df2b61ed2dd118bbdf7/Leetcode%20ce6a9dbb217e4b349b44e050737d15c7/26%20Remove%20Duplicates%20from%20Sorted%20Array%204bb42e7cab434fefbd35f8a51c978dc0/IMG_5094.jpeg
189. Rotate Array,"July 6, 2023","Medium ","Array, Math, Two Pointers","https://www.notion.so/1d32b4abeeed4d168e2b2e3a28c4f21c?pvs=21.
https://www.notion.so/d1361fa1d66d407dab597aa8adcc0c57?pvs=21",Solved,"Leetcode%20b88694650b4c4df2b61ed2dd118bbdf7/Leetcode%20ce6a9dbb217e4b349b44e050737d15c7/189%20Rotate%20Array%20f97b268c66aa41a7b8732f077fc6fa42/IMG_5108.jpeg, Leetcode%20b88694650b4c4df2b61ed2dd118bbdf7/Leetcode%20ce6a9dbb217e4b349b44e050737d15c7/189%20Rotate%20Array%20f97b268c66aa41a7b8732f077fc6fa42/IMG_5109.jpeg"
283. Move Zeroes,"July 6, 2023",Easy,"Array, Two Pointers",,Solved,Leetcode%20b88694650b4c4df2b61ed2dd118bbdf7/Leetcode%20ce6a9dbb217e4b349b44e050737d15c7/283%20Move%20Zeroes%203081160673a04136976c8f9863288071/IMG_5110.jpeg
268. Missing Number,"July 6, 2023",Easy,"Array, Binary Search, Bit Manipulation, Hash Table, Math, Sorting",,Solved,Leetcode%20b88694650b4c4df2b61ed2dd118bbdf7/Leetcode%20ce6a9dbb217e4b349b44e050737d15c7/268%20Missing%20Number%20452f892d1c5143698a49919590d48825/IMG_5112.jpeg
485. Max Consecutive Ones,"July 7, 2023",Easy,Array,,Solved,
136. Single Number,"July 7, 2023",Easy,"Array, Bit Manipulation",https://www.notion.so/16a4239ca05f42a098b89ed87ae2d92e?pvs=21,Solved,
75. Sort Colors,"July 8, 2023","Medium ","Array, Sorting, Two Pointers",https://www.notion.so/16a4239ca05f42a098b89ed87ae2d92e?pvs=21,Solved,
1732. Find the Highest Altitude,"July 9, 2023",Easy,"Array, Prefix Sum",,Checked Solution,
169. Majority Element,"July 11, 2023",Easy,"Array, Counting, Divide and Conquer, Hash Table, Sorting",https://www.notion.so/e5f24ff857de4f098af39d212ec79120?pvs=21,Checked Solution,
2149. Rearrange Array Elements by Sign,"July 12, 2023","Medium ","Array, Simulation, Two Pointers",https://www.notion.so/26fd88cfac1846a2911ff1b995003cab?pvs=21Two Pointers,Checked Solution,
1431. Kids With the Greatest Number of Candies,"July 14, 2023",Easy,Array,,Solved,
128. Longest Consecutive Sequence,"July 15, 2023","Medium ","Array, Hash Table, Union Find",https://www.notion.so/d64e02fbc9094836bf032cb2da5b51a7?pvs=21,Solved,
27. Remove Element,"July 16, 2023",Easy,"Array, Two Pointers",https://www.notion.so/1e7c9423114b410a812c81e9c01a330e?pvs=21,Solved,
88. Merge Sorted Array,"July 17, 2023",Easy,"Array, Sorting, Two Pointers",,Solved,
1572. Matrix Diagonal Sum,"July 18, 2023",Easy,"Array, Matrix",2D Array,Solved,Leetcode%20b88694650b4c4df2b61ed2dd118bbdf7/Leetcode%20ce6a9dbb217e4b349b44e050737d15c7/1572%20Matrix%20Diagonal%20Sum%20be14a54f309b4ae5ad5d6c7840b96b76/IMG_5188.jpeg
74. Search a 2D Matrix,"July 19, 2023","Medium ","Array, Binary Search, Matrix","If want to search in a element, never write else condition (if not found return false) in a for loop this will return false immediately after checking the first element in the matrix.",Solved,
53. Maximum Subarray,"July 19, 2023","Medium ","Array, Divide and Conquer, Dynamic Programming","https://www.notion.so/fb3356add5fa47efb348d5b577889381?pvs=21
How to  find solution from 2 for loops to 1 for loop.",Checked Solution,Leetcode%20b88694650b4c4df2b61ed2dd118bbdf7/Leetcode%20ce6a9dbb217e4b349b44e050737d15c7/53%20Maximum%20Subarray%201394a9ccb2ab467fbb8cf1464b082033/IMG_5204.jpeg
560. Subarray Sum Equals K,"July 21, 2023","Medium ","Array, Hash Table, Prefix Sum",,Checked Solution,
121. Best Time to Buy and Sell Stock,"July 23, 2023",Easy,"Array, Dynamic Programming",How to use one for loops instead of two—> Create extra variable,Checked Solution,
73. Set Matrix Zeroes,"July 24, 2023","Medium ","Array, Hash Table, Matrix",https://www.notion.so/e4cff356f72c411ba883b047797932b0?pvs=21,Checked Solution,
48. Rotate Image,"July 25, 2023","Medium ","Array, Math, Matrix","https://www.notion.so/69742ec76b994a6cb5844d81c71d7e11?pvs=21
https://www.notion.so/d35d2c1e33af42eba120d588ced71e69?pvs=21",Checked Solution,
118. Pascal's Triangle,"July 28, 2023",Easy,"Array, Dynamic Programming",https://www.notion.so/2a7aad68d411466d8e389a9b2309af51?pvs=21Write a extra function to call in the ansFunction.(Why?Because it is a gppd practice of modular programming),Checked Solution,
